Species,state
Abeomelomys_sevia,A
Aethomys_chrysophilus,C
Aethomys_hindei,T
Aethomys_ineptus,T
Aethomys_kaiseri,T
Aethomys_nyikae,T
Aethomys_silindensis,T
Anisomys_imitator,A
Apodemus_agrarius,T
Apodemus_argenteus,A
Apodemus_chevrieri,C
Apodemus_draco,C
Apodemus_flavicollis,C
Apodemus_latronum,C
Apodemus_mystacinus,T
Apodemus_pallipes,T
Apodemus_peninsulae,C
Apodemus_ponticus,T
Apodemus_semotus,T
Apodemus_speciosus,T
Apodemus_sylvaticus,C
Apodemus_uralensis,C
Apomys_abrae,T
Apomys_aurorae,T
Apomys_banahao,T
Apomys_brownorum,T
Apomys_camiguinensis,T
Apomys_datae,T
Apomys_gracilirostris,C
Apomys_hylocetes,T
Apomys_insignis,T
Apomys_iridensis,T
Apomys_lubangensis,T
Apomys_magnus,T
Apomys_microdon,A
Apomys_minganensis,T
Apomys_musculus,A
Apomys_sacobianus,C
Apomys_sierrae,C
Apomys_zambalensis,C
Archboldomys_luzonensis,T
Archboldomys_maximus,T
Arvicanthis_abyssinicus,T
Arvicanthis_ansorgei,T
Arvicanthis_blicki,T
Arvicanthis_nairobae,T
Arvicanthis_neumanni,T
Arvicanthis_niloticus,C
Baiyankamys_habbema,SA
Bandicota_bengalensis,SA
Bandicota_indica,T
Bandicota_savilei,T
Batomys_granti,C
Batomys_hamiguitan,T
Batomys_salomonseni,T
Batomys_uragon,T
Berylmys_berdmorei,T
Berylmys_bowersi,C
Berylmys_manipulus,T
Bullimus_bagobus,T
Bullimus_gamay,T
Bullimus_luzonicus,T
Bunomys_andrewsi,T
Bunomys_chrysocomus,T
Bunomys_fratrorum,T
Bunomys_penitus,T
Bunomys_torajae,T
Carpomys_melanurus,A
Carpomys_phaeurus,A
Chiromyscus_chiropus,A
Chiromyscus_thomasi,A
Chiropodomys_gliroides,A
Chiropodomys_major,A
Chiruromys_vates,A
Chrotomys_gonzalesi,T
Chrotomys_mindorensis,T
Chrotomys_sibuyanensis,T
Chrotomys_silaceus,T
Chrotomys_whiteheadi,T
Coccymys_ruemmleri,C
Colomys_goslingi,SA
Conilurus_penicillatus,A
Crateromys_heaneyi,A
Crateromys_schadenbergi,A
Cremnomys_cutchicus,T
Crossomys_moncktoni,SA
Crunomys_celebensis,T
Crunomys_melanius,T
Crunomys_suncoides,T
Dacnomys_millardi,T
Dasymys_incomtus,T
Dasymys_rufulus,T
Dephomys_defua,A
Desmomys_harringtoni,C
Diplothrix_legata,A
Echiothrix_centrosa,T
Echiothrix_leucura,T
Eropeplus_canus,C
Golunda_ellioti,C
Gracilimus_radix,T
Grammomys_cometes,A
Grammomys_dolichurus,C
Grammomys_ibeanus,A
Grammomys_macmillani,A
Haeromys_minahassae,A
Halmaheramys_bokimekot,T
Hapalomys_delacouri,A
Heimyscus_fumosus,T
Hybomys_badius,T
Hybomys_lunaris,T
Hybomys_planifrons,T
Hybomys_trivirgatus,T
Hybomys_univittatus,T
Hydromys_chrysogaster,SA
Hydromys_neobritannicus,SA
Hylomyscus_aeta,A
Hylomyscus_alleni,C
Hylomyscus_anselli,A
Hylomyscus_arcimontensis,A
Hylomyscus_baeri,A
Hylomyscus_denniae,A
Hylomyscus_grandis,C
Hylomyscus_parvus,C
Hylomyscus_stella,C
Hyomys_goliath,C
Hyorhinomys_stuempkei,T
Kadarsanomys_sodyi,A
Komodomys_rintjanus,T
Lamottemys_okuensis,T
Leggadina_forresti,T
Leggadina_lakedownensis,T
Lemniscomys_barbarus,T
Lemniscomys_bellieri,T
Lemniscomys_macculus,T
Lemniscomys_rosalia,T
Lemniscomys_striatus,T
Lemniscomys_zebra,T
Lenomys_meyeri,C
Lenothrix_canus,A
Leopoldamys_edwardsi,C
Leopoldamys_milleti,T
Leopoldamys_neilli,T
Leopoldamys_sabanus,C
Leporillus_conditor,C
Leptomys_elegans,T
Limnomys_bryophilus,T
Limnomys_sibuanus,C
Lorentzimys_nouhuysi,A
Macruromys_major,T
Malacomys_cansdalei,SA
Malacomys_edwardsi,SA
Malacomys_longipes,SA
Mallomys_aroaensis,C
Mallomys_istapantap,C
Mallomys_rothschildi,A
Mammelomys_lanosus,T
Mammelomys_rattoides,T
Margaretamys_beccarii,A
Margaretamys_christinae,A
Margaretamys_elegans,A
Margaretamys_parvus,A
Mastacomys_fuscus,T
Mastomys_awashensis,T
Mastomys_coucha,T
Mastomys_erythroleucus,T
Mastomys_huberti,T
Mastomys_kollmannspergeri,T
Mastomys_natalensis,T
Mastomys_pernanus,T
Maxomys_bartelsii,T
Maxomys_dollmani,C
