taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Baiyankamys_habbema,Baiyankamys_habbema,SA,4,0.150318116,0.557918652,0.851798295,-1.994448871,4.382026635,-0.023046271
Bandicota_bengalensis,Bandicota_bengalensis,SA,4,0.394762856,-0.936052233,-1.229124914,0.433396944,5.462347653,0.759847864
Colomys_goslingi,Colomys_goslingi,SA,4,-0.136386561,1.014782641,2.87947693,-0.350984012,4.119037175,-0.424279516
Crossomys_moncktoni,Crossomys_moncktoni,SA,4,0.87122294,0.533333366,1.711228349,-3.152344568,5.116255776,0.645675803
Hydromys_chrysogaster,Hydromys_chrysogaster,SA,4,2.007269508,-0.302868006,0.061272982,-0.444362697,6.491209001,2.175581426
Hydromys_neobritannicus,Hydromys_neobritannicus,SA,4,2.304746326,0.023829716,-0.29358644,-0.873904649,4.954911145,2.276705252
Malacomys_cansdalei,Malacomys_cansdalei,SA,4,0.34090215,1.164104314,2.468867308,1.59129264,4.403054002,-0.071977155
Malacomys_edwardsi,Malacomys_edwardsi,SA,4,0.017737919,0.887632973,0.952649781,0.993669055,4.117246955,-0.251390394
Malacomys_longipes,Malacomys_longipes,SA,4,0.294499081,0.484313625,1.116455144,1.124399214,4.567156744,0.135163585
Parahydromys_asper,Parahydromys_asper,SA,4,1.495178495,0.471794737,0.573047293,-0.967283334,6.27914037,1.249156699
Waiomys_mamasae,Waiomys_mamasae,SA,4,-0.089983492,0.796230009,1.922014219,-1.620934131,4.158883083,-0.316631572
