taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Abeomelomys_sevia,Abeomelomys_sevia,A,1,0.013594788,1.152641236,-0.726433501,-0.276281064,4.019800598,-0.341097014
Anisomys_imitator,Anisomys_imitator,A,1,2.377665435,0.739367109,0.413626776,0.470748418,6.219098004,1.895044361
Apodemus_argenteus,Apodemus_argenteus,A,1,-0.993186087,-0.139368315,0.784459569,-1.215670637,3.169685581,-0.920112468
Apomys_microdon,Apomys_microdon,A,1,-0.475294691,0.869533376,1.084821604,-0.313632538,3.569250967,-0.675458051
Apomys_musculus,Apomys_musculus,A,1,-0.839890234,0.79351507,1.144330245,-0.780525964,3.025291076,-0.977198499
Carpomys_melanurus,Carpomys_melanurus,A,1,0.535629315,3.00E-04,-1.139548749,0.059882203,5.105945474,0.547814036
Carpomys_phaeurus,Carpomys_phaeurus,A,1,0.249753264,0.00150688,-1.269528149,-0.126875168,4.812184355,0.479310799
Chiromyscus_chiropus,Chiromyscus_chiropus,A,1,0.562973981,1.46636758,-0.893057695,-0.033496482,4.354141431,-0.006735977
Chiromyscus_thomasi,Chiromyscus_thomasi,A,1,0.651636988,1.059579143,-1.421744988,-0.126875168,4.49980967,0.229763293
Chiropodomys_gliroides,Chiropodomys_gliroides,A,1,-0.687423007,1.320665826,-0.322714353,-0.687147279,3.173459961,-0.965781293
Chiropodomys_major,Chiropodomys_major,A,1,-0.539927537,0.756109236,0.349733288,-0.537741382,3.502549876,-0.703185552
Chiruromys_vates,Chiruromys_vates,A,1,-0.218420558,1.463652641,0.100423403,-0.500389908,3.822754538,-0.626527167
Conilurus_penicillatus,Conilurus_penicillatus,A,1,0.601919414,-0.100906671,1.15685838,0.433396944,5.249862146,0.65383095
Crateromys_heaneyi,Crateromys_heaneyi,A,1,2.491187229,0.520211158,0.297115121,0.433396944,4.820281566,2.138067749
Crateromys_schadenbergi,Crateromys_schadenbergi,A,1,3.170660741,1.448117154,-0.090943857,1.049696266,7.279318835,3.464094691
Dephomys_defua,Dephomys_defua,A,1,0.182634539,1.615840084,-0.246919137,-0.481714171,3.807328934,-0.360669367
Diplothrix_legata,Diplothrix_legata,A,1,2.163879866,0.145398675,-1.46559346,1.927455907,4.337552145,2.064671424
Grammomys_ibeanus,Grammomys_ibeanus,A,1,0.034310443,1.558826354,-0.965407674,0.059882203,3.748326913,-0.456900105
Grammomys_macmillani,Grammomys_macmillani,A,1,-0.23333583,1.662748206,-0.003246913,-0.687147279,3.676553804,-0.696661434
Haeromys_minahassae,Haeromys_minahassae,A,1,-0.9683273,1.585372429,1.881610984,-0.687147279,2.687847494,-1.246318358
Hapalomys_delacouri,Hapalomys_delacouri,A,1,-0.160416722,0.563801021,-1.255747201,-0.967283334,4.163559631,-0.308476425
Hylomyscus_aeta,Hylomyscus_aeta,A,1,-0.549042426,1.346457752,0.185301517,-0.687147279,3.195402469,-0.859764379
Hylomyscus_anselli,Hylomyscus_anselli,A,1,-0.429720248,1.384617735,-0.306427778,0.059882203,3.349904087,-0.773319818
Hylomyscus_arcimontensis,Hylomyscus_arcimontensis,A,1,-0.487724084,1.267573676,0.071921896,-0.313632538,3.36729583,-0.789630112
Hylomyscus_baeri,Hylomyscus_baeri,A,1,-0.537441658,0.726244902,-0.371260876,-0.631120068,3.45946629,-0.693399375
Hylomyscus_denniae,Hylomyscus_denniae,A,1,-0.522526386,1.360334109,-0.223115681,-0.313632538,3.496507561,-0.817357613
Kadarsanomys_sodyi,Kadarsanomys_sodyi,A,1,1.500978879,1.393365873,-0.506564733,0.545451366,4.370586445,0.776158159
Lenothrix_canus,Lenothrix_canus,A,1,1.003803138,0.639216007,-1.09131543,0.171936625,5.09681299,0.719072128
Lorentzimys_nouhuysi,Lorentzimys_nouhuysi,A,1,-0.930210493,1.554603115,1.032516641,-0.631120068,2.706048198,-1.21043571
Mallomys_rothschildi,Mallomys_rothschildi,A,1,3.818646457,0.007690909,-1.452752122,1.292480847,7.054363299,3.777252345
Margaretamys_beccarii,Margaretamys_beccarii,A,1,0.150318116,1.271646085,-0.174882361,0.059882203,4.180522258,-0.267700689
Margaretamys_christinae,Margaretamys_christinae,A,1,-0.106556016,1.698344079,-1.175253934,0.90029037,3.891820298,-0.610216873
Margaretamys_elegans,Margaretamys_elegans,A,1,1.167871132,1.379037026,-0.467414311,0.620154314,4.795790546,0.515193447
Margaretamys_parvus,Margaretamys_parvus,A,1,-0.338571362,1.706036408,-0.554484849,1.553941166,3.688879454,-0.789630112
Melomys_cervinipes,Melomys_cervinipes,A,1,-0.100755633,0.186876918,-0.397883163,-0.126875168,4.787491743,-0.137218333
Melomys_rufescens,Melomys_rufescens,A,1,-0.211791548,0.030013745,-0.568265797,-1.098013494,4.158883083,-0.197566422
Mesembriomys_gouldii,Mesembriomys_gouldii,A,1,3.116800036,0.84871884,0.17621862,4.915573833,6.684611728,2.472428786
Mesembriomys_macrourus,Mesembriomys_macrourus,A,1,2.304746326,1.01704509,-0.554484849,0.993669055,5.703782475,1.656914061
Micromys_minutus,Micromys_minutus,A,1,-1.383469044,-0.10935315,-0.040204911,-1.994448871,1.960094784,-1.327869831
Musseromys_anacuao,Musseromys_anacuao,A,1,-1.129909416,0.265911824,0.363201033,-0.780525964,2.944438979,-1.140301444
Musseromys_beneficus,Musseromys_beneficus,A,1,-1.150625072,0.199244975,0.409241929,-0.687147279,2.995732274,-1.148456591
Musseromys_gulantang,Musseromys_gulantang,A,1,-1.00147235,1.027603188,1.3165921,-0.687147279,2.740840024,-1.164766886
Musseromys_inopinatus,Musseromys_inopinatus,A,1,-1.113336891,0.40045216,0.610005291,-0.500389908,2.90416508,-1.148456591
Phloeomys_cumingi,Phloeomys_cumingi,A,1,3.419248611,-1.298345829,-0.85453368,2.954621444,7.547622983,4.388888389
Phloeomys_pallidus,Phloeomys_pallidus,A,1,3.642977695,-0.698947515,-0.228753341,3.141378814,7.648296411,4.168699413
Pithecheir_melanurus,Pithecheir_melanurus,A,1,0.581203758,0.705581195,-1.209079898,-1.060662019,4.682131227,0.311314766
Pithecheir_parvus,Pithecheir_parvus,A,1,0.48176861,0.62337886,-1.471231121,-1.060662019,4.663439094,0.254228735
Pogonomelomys_mayeri,Pogonomelomys_mayeri,A,1,0.307757101,0.953394841,-0.575782678,-1.154040705,4.70808772,-0.023046271
Rattus_andamanensis,Rattus_andamanensis,A,1,1.252391008,0.580543148,-0.795338243,1.08704774,5.129898715,0.971881693
Rattus_morotaiensis,Rattus_morotaiensis,A,1,0.891938596,0.335444441,-0.763704702,-0.294956801,5.018140394,0.751692717
Rattus_satarae,Rattus_satarae,A,1,0.746929005,1.697366595,-0.077420112,0.806911684,4.86753445,0.042194907
Solomys_salebrosus,Solomys_salebrosus,A,1,1.836572504,-0.460183668,-1.313376621,0.041206466,5.983936281,2.089136865
Sommeromys_macrorhinos,Sommeromys_macrorhinos,A,1,-0.135557935,2.213126778,2.577548878,-0.266943195,3.289520664,-0.789630112
Thallomys_nigricauda,Thallomys_nigricauda,A,1,-0.141358318,0.326545473,-1.088183396,0.153260888,4.596633855,-0.218769805
Thallomys_paedulcus,Thallomys_paedulcus,A,1,0.063312362,0.647964146,-1.170555883,0.209288099,4.317488114,-0.132325244
Thamnomys_kempi,Thamnomys_kempi,A,1,0.48176861,1.003621223,-0.898068949,0.732208736,4.375757022,0.107436085
Vandeleuria_oleracea,Vandeleuria_oleracea,A,1,-0.932696372,1.480093108,0.614703341,-1.24741939,2.587764035,-1.197387475
