taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Aethomys_chrysophilus,Aethomys_chrysophilus,C,2,-0.040265918,0.472398057,0.217248261,0.059882203,4.355810988,-0.169838922
Apodemus_chevrieri,Apodemus_chevrieri,C,2,-0.877178414,-0.184617307,0.615956155,-0.873904649,3.493472658,-0.805940407
Apodemus_draco,Apodemus_draco,C,2,-0.798458922,0.662443823,0.799806535,-0.687147279,3.169685581,-0.911957321
Apodemus_latronum,Apodemus_latronum,C,2,-0.715596299,0.276922412,0.973321203,-0.033496482,3.342861805,-0.748854376
Apodemus_peninsulae,Apodemus_peninsulae,C,2,-0.918609726,-0.39050022,0.141453045,-0.780525964,3.342861805,-0.805940407
Apodemus_sylvaticus,Apodemus_sylvaticus,C,2,-0.912809343,-0.161087831,0.321858188,-0.500389908,3.149740086,-0.846716143
Apodemus_uralensis,Apodemus_uralensis,C,2,-0.955897907,-0.133184286,-0.119132161,-0.873904649,3.04594999,-0.895647027
Apomys_gracilirostris,Apomys_gracilirostris,C,2,0.09231428,0.253996256,1.115828738,0.059882203,4.605170186,0.025884612
Apomys_sacobianus,Apomys_sacobianus,C,2,-0.023693393,-0.269534581,0.833006092,0.620154314,4.150094577,0.082970643
Apomys_sierrae,Apomys_sierrae,C,2,-0.181132377,-0.125491957,1.289343406,-0.033496482,4.521788577,-0.120908038
Apomys_zambalensis,Apomys_zambalensis,C,2,0.030167312,-0.525342216,0.431479368,0.340018258,4.600157644,0.221608146
Arvicanthis_niloticus,Arvicanthis_niloticus,C,2,-0.079211351,-0.72700189,-0.704509265,0.059882203,4.624482497,0.169415204
Batomys_granti,Batomys_granti,C,2,0.41133538,-1.082055647,-1.119816937,0.283991047,5.161466184,0.83324419
Berylmys_bowersi,Berylmys_bowersi,C,2,2.036271426,0.176922139,0.096978166,2.300970647,5.947225262,1.922771862
Coccymys_ruemmleri,Coccymys_ruemmleri,C,2,-0.255708739,1.417649499,0.307450833,-0.500389908,3.451573589,-0.642837462
Desmomys_harringtoni,Desmomys_harringtoni,C,2,-0.283882031,-0.217347411,-0.476497209,-0.42568696,4.349632567,-0.197566422
Eropeplus_canus,Eropeplus_canus,C,2,2.023013406,0.163498272,-1.166797443,1.27380511,5.776103136,1.917878773
Golunda_ellioti,Golunda_ellioti,C,2,-0.718910804,-1.578587919,-0.500927072,-0.668471542,4.12826278,-0.326417749
