taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Aethomys_hindei,Aethomys_hindei,T,3,0.125459329,-0.037256423,-0.475244396,0.059882203,5.004483075,0.156366968
Aethomys_ineptus,Aethomys_ineptus,T,3,0.084028018,0.376771854,-0.426697873,0.059882203,4.678234757,-0.023046271
Aethomys_kaiseri,Aethomys_kaiseri,T,3,-0.270624011,-0.748570576,-1.431141089,0.564127103,4.529907701,-0.031201418
Aethomys_nyikae,Aethomys_nyikae,T,3,0.08568527,0.557013672,-0.572024238,0.171936625,4.502029427,-0.081763331
Aethomys_silindensis,Aethomys_silindensis,T,3,0.434536915,0.098792213,-0.756501024,0.545451366,4.415944853,0.410807562
Apodemus_agrarius,Apodemus_agrarius,T,3,-1.074391458,-1.032281756,-0.50907036,-1.415501023,3.068517943,-0.849978202
Apodemus_mystacinus,Apodemus_mystacinus,T,3,-0.516726002,0.243438157,0.396713794,0.26531531,3.715277928,-0.551499813
Apodemus_pallipes,Apodemus_pallipes,T,3,-0.976613563,-0.030921564,0.236980074,-0.687147279,3.169685581,-0.936422763
Apodemus_ponticus,Apodemus_ponticus,T,3,-0.892093687,0.463197428,1.097036535,-0.420084239,3.342861805,-0.955016498
Apodemus_semotus,Apodemus_semotus,T,3,-0.498496225,0.17179392,0.26078353,1.049696266,3.230409061,-0.515617165
Apodemus_speciosus,Apodemus_speciosus,T,3,-0.722225309,-0.370439834,-0.05868391,-0.74317449,3.65790465,-0.606954814
Apomys_abrae,Apomys_abrae,T,3,-0.201848033,-0.140424124,1.346972827,0.433396944,3.950089206,-0.137218333
Apomys_aurorae,Apomys_aurorae,T,3,-0.168702984,0.105428732,1.154039549,-0.033496482,4.317488114,-0.177994069
Apomys_banahao,Apomys_banahao,T,3,-0.251565607,-0.677378829,0.664189474,0.620154314,4.40060302,-0.031201418
Apomys_brownorum,Apomys_brownorum,T,3,-0.467008428,-0.595779814,1.190997547,0.340018258,4.276666119,-0.284010983
