taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Abeomelomys_sevia,Abeomelomys_sevia,A,1,0.013594788,1.152641236,-0.726433501,-0.276281064,4.019800598,-0.341097014
Aethomys_chrysophilus,Aethomys_chrysophilus,C,2,-0.040265918,0.472398057,0.217248261,0.059882203,4.355810988,-0.169838922
Aethomys_hindei,Aethomys_hindei,T,3,0.125459329,-0.037256423,-0.475244396,0.059882203,5.004483075,0.156366968
Aethomys_ineptus,Aethomys_ineptus,T,3,0.084028018,0.376771854,-0.426697873,0.059882203,4.678234757,-0.023046271
Aethomys_kaiseri,Aethomys_kaiseri,T,3,-0.270624011,-0.748570576,-1.431141089,0.564127103,4.529907701,-0.031201418
Aethomys_nyikae,Aethomys_nyikae,T,3,0.08568527,0.557013672,-0.572024238,0.171936625,4.502029427,-0.081763331
Aethomys_silindensis,Aethomys_silindensis,T,3,0.434536915,0.098792213,-0.756501024,0.545451366,4.415944853,0.410807562
Anisomys_imitator,Anisomys_imitator,A,1,2.377665435,0.739367109,0.413626776,0.470748418,6.219098004,1.895044361
Apodemus_agrarius,Apodemus_agrarius,T,3,-1.074391458,-1.032281756,-0.50907036,-1.415501023,3.068517943,-0.849978202
Apodemus_argenteus,Apodemus_argenteus,A,1,-0.993186087,-0.139368315,0.784459569,-1.215670637,3.169685581,-0.920112468
Apodemus_chevrieri,Apodemus_chevrieri,C,2,-0.877178414,-0.184617307,0.615956155,-0.873904649,3.493472658,-0.805940407
Apodemus_draco,Apodemus_draco,C,2,-0.798458922,0.662443823,0.799806535,-0.687147279,3.169685581,-0.911957321
Apodemus_latronum,Apodemus_latronum,C,2,-0.715596299,0.276922412,0.973321203,-0.033496482,3.342861805,-0.748854376
Apodemus_mystacinus,Apodemus_mystacinus,T,3,-0.516726002,0.243438157,0.396713794,0.26531531,3.715277928,-0.551499813
Apodemus_pallipes,Apodemus_pallipes,T,3,-0.976613563,-0.030921564,0.236980074,-0.687147279,3.169685581,-0.936422763
Apodemus_peninsulae,Apodemus_peninsulae,C,2,-0.918609726,-0.39050022,0.141453045,-0.780525964,3.342861805,-0.805940407
Apodemus_ponticus,Apodemus_ponticus,T,3,-0.892093687,0.463197428,1.097036535,-0.420084239,3.342861805,-0.955016498
Apodemus_semotus,Apodemus_semotus,T,3,-0.498496225,0.17179392,0.26078353,1.049696266,3.230409061,-0.515617165
Apodemus_speciosus,Apodemus_speciosus,T,3,-0.722225309,-0.370439834,-0.05868391,-0.74317449,3.65790465,-0.606954814
Apodemus_sylvaticus,Apodemus_sylvaticus,C,2,-0.912809343,-0.161087831,0.321858188,-0.500389908,3.149740086,-0.846716143
Apodemus_uralensis,Apodemus_uralensis,C,2,-0.955897907,-0.133184286,-0.119132161,-0.873904649,3.04594999,-0.895647027
Apomys_abrae,Apomys_abrae,T,3,-0.201848033,-0.140424124,1.346972827,0.433396944,3.950089206,-0.137218333
Apomys_aurorae,Apomys_aurorae,T,3,-0.168702984,0.105428732,1.154039549,-0.033496482,4.317488114,-0.177994069
Apomys_banahao,Apomys_banahao,T,3,-0.251565607,-0.677378829,0.664189474,0.620154314,4.40060302,-0.031201418
Apomys_brownorum,Apomys_brownorum,T,3,-0.467008428,-0.595779814,1.190997547,0.340018258,4.276666119,-0.284010983
Apomys_camiguinensis,Apomys_camiguinensis,T,3,-0.338571362,1.063048232,2.492983968,-0.126875168,3.688879454,-0.610216873
